round	variant	phase	occurrence	elapsed_ms
1	baseline	Bulk loaded 5000000 items	1	14439
1	baseline	Wrote 1000 individual items	1	44
1	baseline	Wrote 100 batches of 1000 items	1	1508
1	baseline	Wrote 50000 individual items	1	3433
1	baseline	len()	1	0
1	baseline	Random read 1000000 items	1	1609
1	baseline	Random read 1000000 items	2	1584
1	baseline	Random range read 500000 x 10 elements	1	1621
1	baseline	Random range read 500000 x 10 elements	2	1661
1	baseline	Random read (4 threads) 5151000 items	1	2142
1	baseline	Random read (8 threads) 5151000 items	1	1212
1	baseline	Random read (16 threads) 5151000 items	1	1204
1	baseline	Random read (32 threads) 5151000 items	1	1184
1	baseline	Removed 2575500 items	1	10061
1	baseline	Compacted	1	3672
1	optimized	Bulk loaded 5000000 items	1	13973
1	optimized	Wrote 1000 individual items	1	45
1	optimized	Wrote 100 batches of 1000 items	1	1565
1	optimized	Wrote 50000 individual items	1	3497
1	optimized	len()	1	0
1	optimized	Random read 1000000 items	1	1643
1	optimized	Random read 1000000 items	2	1630
1	optimized	Random range read 500000 x 10 elements	1	1742
1	optimized	Random range read 500000 x 10 elements	2	1633
1	optimized	Random read (4 threads) 5151000 items	1	2105
1	optimized	Random read (8 threads) 5151000 items	1	1179
1	optimized	Random read (16 threads) 5151000 items	1	1231
1	optimized	Random read (32 threads) 5151000 items	1	1186
1	optimized	Removed 2575500 items	1	10006
1	optimized	Compacted	1	3746
2	optimized	Bulk loaded 5000000 items	1	13982
2	optimized	Wrote 1000 individual items	1	45
2	optimized	Wrote 100 batches of 1000 items	1	1543
2	optimized	Wrote 50000 individual items	1	3510
2	optimized	len()	1	0
2	optimized	Random read 1000000 items	1	1651
2	optimized	Random read 1000000 items	2	1620
2	optimized	Random range read 500000 x 10 elements	1	1609
2	optimized	Random range read 500000 x 10 elements	2	1639
2	optimized	Random read (4 threads) 5151000 items	1	2065
2	optimized	Random read (8 threads) 5151000 items	1	1216
2	optimized	Random read (16 threads) 5151000 items	1	1213
2	optimized	Random read (32 threads) 5151000 items	1	1212
2	optimized	Removed 2575500 items	1	9662
2	optimized	Compacted	1	3689
2	baseline	Bulk loaded 5000000 items	1	13972
2	baseline	Wrote 1000 individual items	1	45
2	baseline	Wrote 100 batches of 1000 items	1	1503
2	baseline	Wrote 50000 individual items	1	3501
2	baseline	len()	1	0
2	baseline	Random read 1000000 items	1	1591
2	baseline	Random read 1000000 items	2	1578
2	baseline	Random range read 500000 x 10 elements	1	1596
2	baseline	Random range read 500000 x 10 elements	2	1608
2	baseline	Random read (4 threads) 5151000 items	1	2077
2	baseline	Random read (8 threads) 5151000 items	1	1174
2	baseline	Random read (16 threads) 5151000 items	1	1179
2	baseline	Random read (32 threads) 5151000 items	1	1184
2	baseline	Removed 2575500 items	1	9766
2	baseline	Compacted	1	3667
3	baseline	Bulk loaded 5000000 items	1	14023
3	baseline	Wrote 1000 individual items	1	46
3	baseline	Wrote 100 batches of 1000 items	1	1517
3	baseline	Wrote 50000 individual items	1	3425
3	baseline	len()	1	0
3	baseline	Random read 1000000 items	1	1578
3	baseline	Random read 1000000 items	2	1647
3	baseline	Random range read 500000 x 10 elements	1	1680
3	baseline	Random range read 500000 x 10 elements	2	1640
3	baseline	Random read (4 threads) 5151000 items	1	2119
3	baseline	Random read (8 threads) 5151000 items	1	1174
3	baseline	Random read (16 threads) 5151000 items	1	1174
3	baseline	Random read (32 threads) 5151000 items	1	1184
3	baseline	Removed 2575500 items	1	9712
3	baseline	Compacted	1	3723
3	optimized	Bulk loaded 5000000 items	1	13759
3	optimized	Wrote 1000 individual items	1	46
3	optimized	Wrote 100 batches of 1000 items	1	1657
3	optimized	Wrote 50000 individual items	1	3428
3	optimized	len()	1	0
3	optimized	Random read 1000000 items	1	1575
3	optimized	Random read 1000000 items	2	1612
3	optimized	Random range read 500000 x 10 elements	1	1634
3	optimized	Random range read 500000 x 10 elements	2	1613
3	optimized	Random read (4 threads) 5151000 items	1	2102
3	optimized	Random read (8 threads) 5151000 items	1	1179
3	optimized	Random read (16 threads) 5151000 items	1	1394
3	optimized	Random read (32 threads) 5151000 items	1	1178
3	optimized	Removed 2575500 items	1	9788
3	optimized	Compacted	1	3765
4	optimized	Bulk loaded 5000000 items	1	14341
4	optimized	Wrote 1000 individual items	1	47
4	optimized	Wrote 100 batches of 1000 items	1	1575
4	optimized	Wrote 50000 individual items	1	3522
4	optimized	len()	1	0
4	optimized	Random read 1000000 items	1	1595
4	optimized	Random read 1000000 items	2	1612
4	optimized	Random range read 500000 x 10 elements	1	1596
4	optimized	Random range read 500000 x 10 elements	2	1629
4	optimized	Random read (4 threads) 5151000 items	1	2251
4	optimized	Random read (8 threads) 5151000 items	1	1174
4	optimized	Random read (16 threads) 5151000 items	1	1176
4	optimized	Random read (32 threads) 5151000 items	1	1355
4	optimized	Removed 2575500 items	1	9978
4	optimized	Compacted	1	3684
4	baseline	Bulk loaded 5000000 items	1	14184
4	baseline	Wrote 1000 individual items	1	44
4	baseline	Wrote 100 batches of 1000 items	1	1537
4	baseline	Wrote 50000 individual items	1	3409
4	baseline	len()	1	0
4	baseline	Random read 1000000 items	1	1592
4	baseline	Random read 1000000 items	2	1622
4	baseline	Random range read 500000 x 10 elements	1	1666
4	baseline	Random range read 500000 x 10 elements	2	1682
4	baseline	Random read (4 threads) 5151000 items	1	2048
4	baseline	Random read (8 threads) 5151000 items	1	1202
4	baseline	Random read (16 threads) 5151000 items	1	1194
4	baseline	Random read (32 threads) 5151000 items	1	1162
4	baseline	Removed 2575500 items	1	9889
4	baseline	Compacted	1	3696
5	baseline	Bulk loaded 5000000 items	1	13896
5	baseline	Wrote 1000 individual items	1	45
5	baseline	Wrote 100 batches of 1000 items	1	1504
5	baseline	Wrote 50000 individual items	1	3392
5	baseline	len()	1	0
5	baseline	Random read 1000000 items	1	1615
5	baseline	Random read 1000000 items	2	1588
5	baseline	Random range read 500000 x 10 elements	1	1732
5	baseline	Random range read 500000 x 10 elements	2	1644
5	baseline	Random read (4 threads) 5151000 items	1	2069
5	baseline	Random read (8 threads) 5151000 items	1	1184
5	baseline	Random read (16 threads) 5151000 items	1	1195
5	baseline	Random read (32 threads) 5151000 items	1	1149
5	baseline	Removed 2575500 items	1	9815
5	baseline	Compacted	1	3710
5	optimized	Bulk loaded 5000000 items	1	13961
5	optimized	Wrote 1000 individual items	1	45
5	optimized	Wrote 100 batches of 1000 items	1	1510
5	optimized	Wrote 50000 individual items	1	3436
5	optimized	len()	1	0
5	optimized	Random read 1000000 items	1	1575
5	optimized	Random read 1000000 items	2	1546
5	optimized	Random range read 500000 x 10 elements	1	1679
5	optimized	Random range read 500000 x 10 elements	2	1609
5	optimized	Random read (4 threads) 5151000 items	1	2081
5	optimized	Random read (8 threads) 5151000 items	1	1193
5	optimized	Random read (16 threads) 5151000 items	1	1221
5	optimized	Random read (32 threads) 5151000 items	1	1185
5	optimized	Removed 2575500 items	1	9977
5	optimized	Compacted	1	3694
6	optimized	Bulk loaded 5000000 items	1	13863
6	optimized	Wrote 1000 individual items	1	45
6	optimized	Wrote 100 batches of 1000 items	1	1528
6	optimized	Wrote 50000 individual items	1	3433
6	optimized	len()	1	0
6	optimized	Random read 1000000 items	1	1797
6	optimized	Random read 1000000 items	2	1676
6	optimized	Random range read 500000 x 10 elements	1	1831
6	optimized	Random range read 500000 x 10 elements	2	1641
6	optimized	Random read (4 threads) 5151000 items	1	2073
6	optimized	Random read (8 threads) 5151000 items	1	1177
6	optimized	Random read (16 threads) 5151000 items	1	1200
6	optimized	Random read (32 threads) 5151000 items	1	1188
6	optimized	Removed 2575500 items	1	9861
6	optimized	Compacted	1	3726
6	baseline	Bulk loaded 5000000 items	1	13981
6	baseline	Wrote 1000 individual items	1	44
6	baseline	Wrote 100 batches of 1000 items	1	1504
6	baseline	Wrote 50000 individual items	1	3404
6	baseline	len()	1	0
6	baseline	Random read 1000000 items	1	1598
6	baseline	Random read 1000000 items	2	1594
6	baseline	Random range read 500000 x 10 elements	1	1655
6	baseline	Random range read 500000 x 10 elements	2	1633
6	baseline	Random read (4 threads) 5151000 items	1	2086
6	baseline	Random read (8 threads) 5151000 items	1	1169
6	baseline	Random read (16 threads) 5151000 items	1	1201
6	baseline	Random read (32 threads) 5151000 items	1	1184
6	baseline	Removed 2575500 items	1	9749
6	baseline	Compacted	1	3687
7	baseline	Bulk loaded 5000000 items	1	13884
7	baseline	Wrote 1000 individual items	1	45
7	baseline	Wrote 100 batches of 1000 items	1	1665
7	baseline	Wrote 50000 individual items	1	3451
7	baseline	len()	1	0
7	baseline	Random read 1000000 items	1	1609
7	baseline	Random read 1000000 items	2	1606
7	baseline	Random range read 500000 x 10 elements	1	1604
7	baseline	Random range read 500000 x 10 elements	2	1660
7	baseline	Random read (4 threads) 5151000 items	1	2087
7	baseline	Random read (8 threads) 5151000 items	1	1192
7	baseline	Random read (16 threads) 5151000 items	1	1211
7	baseline	Random read (32 threads) 5151000 items	1	1169
7	baseline	Removed 2575500 items	1	9836
7	baseline	Compacted	1	3776
7	optimized	Bulk loaded 5000000 items	1	13960
7	optimized	Wrote 1000 individual items	1	45
7	optimized	Wrote 100 batches of 1000 items	1	1556
7	optimized	Wrote 50000 individual items	1	3555
7	optimized	len()	1	0
7	optimized	Random read 1000000 items	1	1590
7	optimized	Random read 1000000 items	2	1659
7	optimized	Random range read 500000 x 10 elements	1	1643
7	optimized	Random range read 500000 x 10 elements	2	1655
7	optimized	Random read (4 threads) 5151000 items	1	2089
7	optimized	Random read (8 threads) 5151000 items	1	1169
7	optimized	Random read (16 threads) 5151000 items	1	1226
7	optimized	Random read (32 threads) 5151000 items	1	1173
7	optimized	Removed 2575500 items	1	9637
7	optimized	Compacted	1	3691
